Inception3   line 1 cols 1-10 is T_Identifier 
1            line 34 cols 61-61 is T_IntConstant (value = 1)
)            line 34 cols 62-62 is ')' 
,            line 34 cols 63-63 is ',' 
padding      line 34 cols 65-71 is T_padding 
=            line 34 cols 72-72 is '=' 
(            line 34 cols 73-73 is '(' 
2            line 34 cols 74-74 is T_IntConstant (value = 2)
,            line 34 cols 75-75 is ',' 
2            line 34 cols 77-77 is T_IntConstant (value = 2)
)            line 34 cols 78-78 is ')' 
,            line 34 cols 79-79 is ',' 
bias         line 34 cols 81-84 is T_bias 
=            line 34 cols 85-85 is '=' 
False        line 34 cols 86-90 is T_BoolConstant (value = false)
)            line 34 cols 91-91 is ')' 
(            line 35 cols 7-7 is '(' 
bn           line 35 cols 8-9 is T_Identifier 
)            line 35 cols 10-10 is ')' 
:            line 35 cols 11-11 is ':' 
BatchNorm2d  line 35 cols 13-23 is T_BatchNorm2d 
(            line 35 cols 24-24 is '(' 
64           line 35 cols 25-26 is T_IntConstant (value = 64)
,            line 35 cols 27-27 is ',' 
eps          line 35 cols 29-31 is T_eps 
=            line 35 cols 32-32 is '=' 
0.001        line 35 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 35 cols 38-38 is ',' 
momentum     line 35 cols 40-47 is T_momentum 
=            line 35 cols 48-48 is '=' 
0.1          line 35 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 35 cols 52-52 is ',' 
affine       line 35 cols 54-59 is T_Identifier 
=            line 35 cols 60-60 is '=' 
True         line 35 cols 61-64 is T_BoolConstant (value = true)
,            line 35 cols 65-65 is ',' 
track_running_stats line 35 cols 67-85 is T_track_running_stats 
=            line 35 cols 86-86 is '=' 
True         line 35 cols 87-90 is T_BoolConstant (value = true)
)            line 35 cols 91-91 is ')' 
)            line 36 cols 5-5 is ')' 
(            line 37 cols 5-5 is '(' 
branch3x3dbl_1 line 37 cols 6-19 is T_Identifier 
)            line 37 cols 20-20 is ')' 
:            line 37 cols 21-21 is ':' 
BasicConv2d  line 37 cols 23-33 is T_Identifier 
(            line 37 cols 34-34 is '(' 
(            line 38 cols 7-7 is '(' 
conv         line 38 cols 8-11 is T_Identifier 
)            line 38 cols 12-12 is ')' 
:            line 38 cols 13-13 is ':' 
Conv2d       line 38 cols 15-20 is T_Conv2d 
(            line 38 cols 21-21 is '(' 
192          line 38 cols 22-24 is T_IntConstant (value = 192)
,            line 38 cols 25-25 is ',' 
64           line 38 cols 27-28 is T_IntConstant (value = 64)
,            line 38 cols 29-29 is ',' 
kernel_size  line 38 cols 31-41 is T_kernel_size 
=            line 38 cols 42-42 is '=' 
(            line 38 cols 43-43 is '(' 
1            line 38 cols 44-44 is T_IntConstant (value = 1)
,            line 38 cols 45-45 is ',' 
1            line 38 cols 47-47 is T_IntConstant (value = 1)
)            line 38 cols 48-48 is ')' 
,            line 38 cols 49-49 is ',' 
stride       line 38 cols 51-56 is T_stride 
=            line 38 cols 57-57 is '=' 
(            line 38 cols 58-58 is '(' 
1            line 38 cols 59-59 is T_IntConstant (value = 1)
,            line 38 cols 60-60 is ',' 
1            line 38 cols 62-62 is T_IntConstant (value = 1)
)            line 38 cols 63-63 is ')' 
,            line 38 cols 64-64 is ',' 
bias         line 38 cols 66-69 is T_bias 
=            line 38 cols 70-70 is '=' 
False        line 38 cols 71-75 is T_BoolConstant (value = false)
)            line 38 cols 76-76 is ')' 
(            line 39 cols 7-7 is '(' 
bn           line 39 cols 8-9 is T_Identifier 
)            line 39 cols 10-10 is ')' 
:            line 39 cols 11-11 is ':' 
BatchNorm2d  line 39 cols 13-23 is T_BatchNorm2d 
(            line 39 cols 24-24 is '(' 
64           line 39 cols 25-26 is T_IntConstant (value = 64)
,            line 39 cols 27-27 is ',' 
eps          line 39 cols 29-31 is T_eps 
=            line 39 cols 32-32 is '=' 
0.001        line 39 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 39 cols 38-38 is ',' 
momentum     line 39 cols 40-47 is T_momentum 
=            line 39 cols 48-48 is '=' 
0.1          line 39 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 39 cols 52-52 is ',' 
affine       line 39 cols 54-59 is T_Identifier 
=            line 39 cols 60-60 is '=' 
True         line 39 cols 61-64 is T_BoolConstant (value = true)
,            line 39 cols 65-65 is ',' 
track_running_stats line 39 cols 67-85 is T_track_running_stats 
=            line 39 cols 86-86 is '=' 
