DenseNet     line 1 cols 1-8 is T_Identifier 
0.1          line 36 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 36 cols 58-58 is ',' 
affine       line 36 cols 60-65 is T_Identifier 
=            line 36 cols 66-66 is '=' 
True         line 36 cols 67-70 is T_BoolConstant (value = true)
,            line 36 cols 71-71 is ',' 
track_running_stats line 36 cols 73-91 is T_track_running_stats 
=            line 36 cols 92-92 is '=' 
True         line 36 cols 93-96 is T_BoolConstant (value = true)
)            line 36 cols 97-97 is ')' 
(            line 37 cols 9-9 is '(' 
relu2        line 37 cols 10-14 is T_Identifier 
)            line 37 cols 15-15 is ')' 
:            line 37 cols 16-16 is ':' 
ReLU         line 37 cols 18-21 is T_ReLU 
(            line 37 cols 22-22 is '(' 
inplace      line 37 cols 23-29 is T_inplace 
=            line 37 cols 30-30 is '=' 
True         line 37 cols 31-34 is T_BoolConstant (value = true)
)            line 37 cols 35-35 is ')' 
(            line 38 cols 9-9 is '(' 
conv2        line 38 cols 10-14 is T_Identifier 
)            line 38 cols 15-15 is ')' 
:            line 38 cols 16-16 is ':' 
Conv2d       line 38 cols 18-23 is T_Conv2d 
(            line 38 cols 24-24 is '(' 
128          line 38 cols 25-27 is T_IntConstant (value = 128)
,            line 38 cols 28-28 is ',' 
32           line 38 cols 30-31 is T_IntConstant (value = 32)
,            line 38 cols 32-32 is ',' 
kernel_size  line 38 cols 34-44 is T_kernel_size 
=            line 38 cols 45-45 is '=' 
(            line 38 cols 46-46 is '(' 
3            line 38 cols 47-47 is T_IntConstant (value = 3)
,            line 38 cols 48-48 is ',' 
3            line 38 cols 50-50 is T_IntConstant (value = 3)
)            line 38 cols 51-51 is ')' 
,            line 38 cols 52-52 is ',' 
stride       line 38 cols 54-59 is T_stride 
=            line 38 cols 60-60 is '=' 
(            line 38 cols 61-61 is '(' 
1            line 38 cols 62-62 is T_IntConstant (value = 1)
,            line 38 cols 63-63 is ',' 
1            line 38 cols 65-65 is T_IntConstant (value = 1)
)            line 38 cols 66-66 is ')' 
,            line 38 cols 67-67 is ',' 
padding      line 38 cols 69-75 is T_padding 
=            line 38 cols 76-76 is '=' 
(            line 38 cols 77-77 is '(' 
1            line 38 cols 78-78 is T_IntConstant (value = 1)
,            line 38 cols 79-79 is ',' 
1            line 38 cols 81-81 is T_IntConstant (value = 1)
)            line 38 cols 82-82 is ')' 
,            line 38 cols 83-83 is ',' 
bias         line 38 cols 85-88 is T_bias 
=            line 38 cols 89-89 is '=' 
False        line 38 cols 90-94 is T_BoolConstant (value = false)
)            line 38 cols 95-95 is ')' 
)            line 39 cols 7-7 is ')' 
(            line 40 cols 7-7 is '(' 
denselayer5  line 40 cols 8-18 is T_Identifier 
)            line 40 cols 19-19 is ')' 
:            line 40 cols 20-20 is ':' 
_DenseLayer  line 40 cols 22-32 is T_Identifier 
(            line 40 cols 33-33 is '(' 
(            line 41 cols 9-9 is '(' 
norm1        line 41 cols 10-14 is T_Identifier 
)            line 41 cols 15-15 is ')' 
:            line 41 cols 16-16 is ':' 
BatchNorm2d  line 41 cols 18-28 is T_BatchNorm2d 
(            line 41 cols 29-29 is '(' 
192          line 41 cols 30-32 is T_IntConstant (value = 192)
,            line 41 cols 33-33 is ',' 
eps          line 41 cols 35-37 is T_eps 
=            line 41 cols 38-38 is '=' 
1e-05        line 41 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 41 cols 44-44 is ',' 
momentum     line 41 cols 46-53 is T_momentum 
=            line 41 cols 54-54 is '=' 
0.1          line 41 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 41 cols 58-58 is ',' 
affine       line 41 cols 60-65 is T_Identifier 
=            line 41 cols 66-66 is '=' 
True         line 41 cols 67-70 is T_BoolConstant (value = true)
,            line 41 cols 71-71 is ',' 
track_running_stats line 41 cols 73-91 is T_track_running_stats 
=            line 41 cols 92-92 is '=' 
True         line 41 cols 93-96 is T_BoolConstant (value = true)
)            line 41 cols 97-97 is ')' 
(            line 42 cols 9-9 is '(' 
relu1        line 42 cols 10-14 is T_Identifier 
)            line 42 cols 15-15 is ')' 
:            line 42 cols 16-16 is ':' 
ReLU         line 42 cols 18-21 is T_ReLU 
(            line 42 cols 22-22 is '(' 
inplace      line 42 cols 23-29 is T_inplace 
=            line 42 cols 30-30 is '=' 
True         line 42 cols 31-34 is T_BoolConstant (value = true)
)            line 42 cols 35-35 is ')' 
(            line 43 cols 9-9 is '(' 
conv1        line 43 cols 10-14 is T_Identifier 
)            line 43 cols 15-15 is ')' 
:            line 43 cols 16-16 is ':' 
Conv2d       line 43 cols 18-23 is T_Conv2d 
(            line 43 cols 24-24 is '(' 
192          line 43 cols 25-27 is T_IntConstant (value = 192)
,            line 43 cols 28-28 is ',' 
128          line 43 cols 30-32 is T_IntConstant (value = 128)
,            line 43 cols 33-33 is ',' 
kernel_size  line 43 cols 35-45 is T_kernel_size 
=            line 43 cols 46-46 is '=' 
(            line 43 cols 47-47 is '(' 
1            line 43 cols 48-48 is T_IntConstant (value = 1)
,            line 43 cols 49-49 is ',' 
1            line 43 cols 51-51 is T_IntConstant (value = 1)
)            line 43 cols 52-52 is ')' 
,            line 43 cols 53-53 is ',' 
stride       line 43 cols 55-60 is T_stride 
=            line 43 cols 61-61 is '=' 
(            line 43 cols 62-62 is '(' 
1            line 43 cols 63-63 is T_IntConstant (value = 1)
,            line 43 cols 64-64 is ',' 
1            line 43 cols 66-66 is T_IntConstant (value = 1)
)            line 43 cols 67-67 is ')' 
,            line 43 cols 68-68 is ',' 
bias         line 43 cols 70-73 is T_bias 
=            line 43 cols 74-74 is '=' 
False        line 43 cols 75-79 is T_BoolConstant (value = false)
)            line 43 cols 80-80 is ')' 
(            line 44 cols 9-9 is '(' 
norm2        line 44 cols 10-14 is T_Identifier 
)            line 44 cols 15-15 is ')' 
:            line 44 cols 16-16 is ':' 
BatchNorm2d  line 44 cols 18-28 is T_BatchNorm2d 
(            line 44 cols 29-29 is '(' 
128          line 44 cols 30-32 is T_IntConstant (value = 128)
,            line 44 cols 33-33 is ',' 
eps          line 44 cols 35-37 is T_eps 
=            line 44 cols 38-38 is '=' 
1e-05        line 44 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 44 cols 44-44 is ',' 
momentum     line 44 cols 46-53 is T_momentum 
=            line 44 cols 54-54 is '=' 
0.1          line 44 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 44 cols 58-58 is ',' 
affine       line 44 cols 60-65 is T_Identifier 
=            line 44 cols 66-66 is '=' 
True         line 44 cols 67-70 is T_BoolConstant (value = true)
,            line 44 cols 71-71 is ',' 
track_running_stats line 44 cols 73-91 is T_track_running_stats 
=            line 44 cols 92-92 is '=' 
True         line 44 cols 93-96 is T_BoolConstant (value = true)
)            line 44 cols 97-97 is ')' 
(            line 45 cols 9-9 is '(' 
relu2        line 45 cols 10-14 is T_Identifier 
)            line 45 cols 15-15 is ')' 
:            line 45 cols 16-16 is ':' 
ReLU         line 45 cols 18-21 is T_ReLU 
(            line 45 cols 22-22 is '(' 
inplace      line 45 cols 23-29 is T_inplace 
=            line 45 cols 30-30 is '=' 
True         line 45 cols 31-34 is T_BoolConstant (value = true)
)            line 45 cols 35-35 is ')' 
(            line 46 cols 9-9 is '(' 
conv2        line 46 cols 10-14 is T_Identifier 
)            line 46 cols 15-15 is ')' 
:            line 46 cols 16-16 is ':' 
Conv2d       line 46 cols 18-23 is T_Conv2d 
(            line 46 cols 24-24 is '(' 
128          line 46 cols 25-27 is T_IntConstant (value = 128)
,            line 46 cols 28-28 is ',' 
32           line 46 cols 30-31 is T_IntConstant (value = 32)
,            line 46 cols 32-32 is ',' 
kernel_size  line 46 cols 34-44 is T_kernel_size 
=            line 46 cols 45-45 is '=' 
(            line 46 cols 46-46 is '(' 
3            line 46 cols 47-47 is T_IntConstant (value = 3)
,            line 46 cols 48-48 is ',' 
3            line 46 cols 50-50 is T_IntConstant (value = 3)
)            line 46 cols 51-51 is ')' 
,            line 46 cols 52-52 is ',' 
stride       line 46 cols 54-59 is T_stride 
=            line 46 cols 60-60 is '=' 
(            line 46 cols 61-61 is '(' 
1            line 46 cols 62-62 is T_IntConstant (value = 1)
,            line 46 cols 63-63 is ',' 
1            line 46 cols 65-65 is T_IntConstant (value = 1)
)            line 46 cols 66-66 is ')' 
,            line 46 cols 67-67 is ',' 
padding      line 46 cols 69-75 is T_padding 
=            line 46 cols 76-76 is '=' 
(            line 46 cols 77-77 is '(' 
1            line 46 cols 78-78 is T_IntConstant (value = 1)
,            line 46 cols 79-79 is ',' 
1            line 46 cols 81-81 is T_IntConstant (value = 1)
)            line 46 cols 82-82 is ')' 
,            line 46 cols 83-83 is ',' 
bias         line 46 cols 85-88 is T_bias 
=            line 46 cols 89-89 is '=' 
False        line 46 cols 90-94 is T_BoolConstant (value = false)
)            line 46 cols 95-95 is ')' 
)            line 47 cols 7-7 is ')' 
(            line 48 cols 7-7 is '(' 
denselayer6  line 48 cols 8-18 is T_Identifier 
)            line 48 cols 19-19 is ')' 
:            line 48 cols 20-20 is ':' 
_DenseLayer  line 48 cols 22-32 is T_Identifier 
(            line 48 cols 33-33 is '(' 
(            line 49 cols 9-9 is '(' 
norm1        line 49 cols 10-14 is T_Identifier 
)            line 49 cols 15-15 is ')' 
:            line 49 cols 16-16 is ':' 
BatchNorm2d  line 49 cols 18-28 is T_BatchNorm2d 
(            line 49 cols 29-29 is '(' 
224          line 49 cols 30-32 is T_IntConstant (value = 224)
,            line 49 cols 33-33 is ',' 
eps          line 49 cols 35-37 is T_eps 
=            line 49 cols 38-38 is '=' 
1e-05        line 49 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 49 cols 44-44 is ',' 
momentum     line 49 cols 46-53 is T_momentum 
=            line 49 cols 54-54 is '=' 
0.1          line 49 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 49 cols 58-58 is ',' 
affine       line 49 cols 60-65 is T_Identifier 
=            line 49 cols 66-66 is '=' 
True         line 49 cols 67-70 is T_BoolConstant (value = true)
,            line 49 cols 71-71 is ',' 
track_running_stats line 49 cols 73-91 is T_track_running_stats 
=            line 49 cols 92-92 is '=' 
True         line 49 cols 93-96 is T_BoolConstant (value = true)
)            line 49 cols 97-97 is ')' 
(            line 50 cols 9-9 is '(' 
relu1        line 50 cols 10-14 is T_Identifier 
)            line 50 cols 15-15 is ')' 
:            line 50 cols 16-16 is ':' 
ReLU         line 50 cols 18-21 is T_ReLU 
(            line 50 cols 22-22 is '(' 
inplace      line 50 cols 23-29 is T_inplace 
=            line 50 cols 30-30 is '=' 
True         line 50 cols 31-34 is T_BoolConstant (value = true)
)            line 50 cols 35-35 is ')' 
(            line 51 cols 9-9 is '(' 
conv1        line 51 cols 10-14 is T_Identifier 
)            line 51 cols 15-15 is ')' 
:            line 51 cols 16-16 is ':' 
Conv2d       line 51 cols 18-23 is T_Conv2d 
(            line 51 cols 24-24 is '(' 
224          line 51 cols 25-27 is T_IntConstant (value = 224)
,            line 51 cols 28-28 is ',' 
128          line 51 cols 30-32 is T_IntConstant (value = 128)
,            line 51 cols 33-33 is ',' 
kernel_size  line 51 cols 35-45 is T_kernel_size 
=            line 51 cols 46-46 is '=' 
(            line 51 cols 47-47 is '(' 
1            line 51 cols 48-48 is T_IntConstant (value = 1)
,            line 51 cols 49-49 is ',' 
1            line 51 cols 51-51 is T_IntConstant (value = 1)
)            line 51 cols 52-52 is ')' 
,            line 51 cols 53-53 is ',' 
stride       line 51 cols 55-60 is T_stride 
=            line 51 cols 61-61 is '=' 
(            line 51 cols 62-62 is '(' 
1            line 51 cols 63-63 is T_IntConstant (value = 1)
,            line 51 cols 64-64 is ',' 
1            line 51 cols 66-66 is T_IntConstant (value = 1)
)            line 51 cols 67-67 is ')' 
,            line 51 cols 68-68 is ',' 
bias         line 51 cols 70-73 is T_bias 
=            line 51 cols 74-74 is '=' 
False        line 51 cols 75-79 is T_BoolConstant (value = false)
)            line 51 cols 80-80 is ')' 
(            line 52 cols 9-9 is '(' 
norm2        line 52 cols 10-14 is T_Identifier 
)            line 52 cols 15-15 is ')' 
:            line 52 cols 16-16 is ':' 
BatchNorm2d  line 52 cols 18-28 is T_BatchNorm2d 
(            line 52 cols 29-29 is '(' 
128          line 52 cols 30-32 is T_IntConstant (value = 128)
,            line 52 cols 33-33 is ',' 
eps          line 52 cols 35-37 is T_eps 
=            line 52 cols 38-38 is '=' 
1e-05        line 52 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 52 cols 44-44 is ',' 
momentum     line 52 cols 46-53 is T_momentum 
=            line 52 cols 54-54 is '=' 
0.1          line 52 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 52 cols 58-58 is ',' 
affine       line 52 cols 60-65 is T_Identifier 
=            line 52 cols 66-66 is '=' 
True         line 52 cols 67-70 is T_BoolConstant (value = true)
,            line 52 cols 71-71 is ',' 
track_running_stats line 52 cols 73-91 is T_track_running_stats 
=            line 52 cols 92-92 is '=' 
True         line 52 cols 93-96 is T_BoolConstant (value = true)
)            line 52 cols 97-97 is ')' 
(            line 53 cols 9-9 is '(' 
relu2        line 53 cols 10-14 is T_Identifier 
)            line 53 cols 15-15 is ')' 
:            line 53 cols 16-16 is ':' 
ReLU         line 53 cols 18-21 is T_ReLU 
(            line 53 cols 22-22 is '(' 
inplace      line 53 cols 23-29 is T_inplace 
=            line 53 cols 30-30 is '=' 
True         line 53 cols 31-34 is T_BoolConstant (value = true)
)            line 53 cols 35-35 is ')' 
(            line 54 cols 9-9 is '(' 
conv2        line 54 cols 10-14 is T_Identifier 
)            line 54 cols 15-15 is ')' 
:            line 54 cols 16-16 is ':' 
Conv2d       line 54 cols 18-23 is T_Conv2d 
(            line 54 cols 24-24 is '(' 
128          line 54 cols 25-27 is T_IntConstant (value = 128)
,            line 54 cols 28-28 is ',' 
32           line 54 cols 30-31 is T_IntConstant (value = 32)
,            line 54 cols 32-32 is ',' 
kernel_size  line 54 cols 34-44 is T_kernel_size 
=            line 54 cols 45-45 is '=' 
(            line 54 cols 46-46 is '(' 
3            line 54 cols 47-47 is T_IntConstant (value = 3)
,            line 54 cols 48-48 is ',' 
3            line 54 cols 50-50 is T_IntConstant (value = 3)
)            line 54 cols 51-51 is ')' 
,            line 54 cols 52-52 is ',' 
stride       line 54 cols 54-59 is T_stride 
=            line 54 cols 60-60 is '=' 
(            line 54 cols 61-61 is '(' 
1            line 54 cols 62-62 is T_IntConstant (value = 1)
,            line 54 cols 63-63 is ',' 
1            line 54 cols 65-65 is T_IntConstant (value = 1)
)            line 54 cols 66-66 is ')' 
,            line 54 cols 67-67 is ',' 
padding      line 54 cols 69-75 is T_padding 
=            line 54 cols 76-76 is '=' 
(            line 54 cols 77-77 is '(' 
1            line 54 cols 78-78 is T_IntConstant (value = 1)
,            line 54 cols 79-79 is ',' 
1            line 54 cols 81-81 is T_IntConstant (value = 1)
)            line 54 cols 82-82 is ')' 
,            line 54 cols 83-83 is ',' 
bias         line 54 cols 85-88 is T_bias 
=            line 54 cols 89-89 is '=' 
False        line 54 cols 90-94 is T_BoolConstant (value = false)
)            line 54 cols 95-95 is ')' 
)            line 55 cols 7-7 is ')' 
)            line 56 cols 5-5 is ')' 
(            line 57 cols 5-5 is '(' 
transition1  line 57 cols 6-16 is T_Identifier 
)            line 57 cols 17-17 is ')' 
:            line 57 cols 18-18 is ':' 
_Transition  line 57 cols 20-30 is T_Identifier 
(            line 57 cols 31-31 is '(' 
(            line 58 cols 7-7 is '(' 
norm         line 58 cols 8-11 is T_Identifier 
